Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
33,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
34,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
35,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
36,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
37,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
38,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
39,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
40,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
41,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
42,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
43,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
44,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
45,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
46,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
48,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
49,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
50,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
51,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
52,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
53,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
55,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
56,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
57,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
58,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
59,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
60,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
61,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
62,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
63,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
64,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
65,10,12,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
